College,Metric,Year,Percent,Funding Allocation
Sheridan College,08. Revenue attracted from private sector sources,2024-25,11%,"$5,268,869.00"
Sheridan College,09. Apprenticeship-related (institution-specific),2024-25,11%,"$5,268,869.00"
Sheridan College,10. Skills and competencies,2024-25,5%,"$2,495,780.00"
Sir Sandford Fleming,01. Graduate employment rate in a related field,2020–21,20%,"$2,133,950.00"
Sir Sandford Fleming,02. Institutiol strength and focus,2020–21,30%,"$3,200,924.00"
Sir Sandford Fleming,03. Graduation rate,2020–21,25%,"$2,667,437.00"
Sir Sandford Fleming,04. Community and local impact of student enrolment,2020–21,15%,"$1,600,462.00"
Sir Sandford Fleming,05. Economic impact (institution-specific),2020–21,10%,"$1,066,975.00"
Sir Sandford Fleming,06. Graduate employment earnings,2020–21,,
Sir Sandford Fleming,07. Experiential learning,2020–21,,
Sir Sandford Fleming,08. Revenue attracted from private sector sources,2020–21,,
Sir Sandford Fleming,09. Apprenticeship-related (institution-specific),2020–21,,
Sir Sandford Fleming,10. Skills and competencies,2020–21,,
Sir Sandford Fleming,01. Graduate employment rate in a related field,2021-22,15%,"$2,229,960.00"
Sir Sandford Fleming,02. Institutiol strength and focus,2021-22,20%,"$2,973,279.00"
Sir Sandford Fleming,03. Graduation rate,2021-22,10%,"$1,486,640.00"
Sir Sandford Fleming,04. Community and local impact of student enrolment,2021-22,10%,"$1,486,640.00"
Sir Sandford Fleming,05. Economic impact (institution-specific),2021-22,10%,"$1,486,640.00"
Sir Sandford Fleming,06. Graduate employment earnings,2021-22,5%,"$743,320.00"
Sir Sandford Fleming,07. Experiential learning,2021-22,25%,"$3,716,599.00"
Sir Sandford Fleming,08. Revenue attracted from private sector sources,2021-22,5%,"$743,320.00"
Sir Sandford Fleming,09. Apprenticeship-related (institution-specific),2021-22,,
Sir Sandford Fleming,10. Skills and competencies,2021-22,,
Sir Sandford Fleming,01. Graduate employment rate in a related field,2022-23,15%,"$2,859,457.00"
Sir Sandford Fleming,02. Institutiol strength and focus,2022-23,20%,"$3,812,609.00"
Sir Sandford Fleming,03. Graduation rate,2022-23,10%,"$1,906,305.00"
Sir Sandford Fleming,04. Community and local impact of student enrolment,2022-23,10%,"$1,906,305.00"
Sir Sandford Fleming,05. Economic impact (institution-specific),2022-23,5%,"$953,152.00"
Sir Sandford Fleming,06. Graduate employment earnings,2022-23,5%,"$953,152.00"
Sir Sandford Fleming,07. Experiential learning,2022-23,10%,"$1,906,305.00"
Sir Sandford Fleming,08. Revenue attracted from private sector sources,2022-23,5%,"$953,152.00"
Sir Sandford Fleming,09. Apprenticeship-related (institution-specific),2022-23,15%,"$2,859,457.00"
Sir Sandford Fleming,10. Skills and competencies,2022-23,5%,"$953,152.00"
Sir Sandford Fleming,01. Graduate employment rate in a related field,2023-24,15%,"$3,488,954.00"
Sir Sandford Fleming,02. Institutiol strength and focus,2023-24,20%,"$4,651,939.00"
Sir Sandford Fleming,03. Graduation rate,2023-24,10%,"$2,325,969.00"
Sir Sandford Fleming,04. Community and local impact of student enrolment,2023-24,10%,"$2,325,969.00"
Sir Sandford Fleming,05. Economic impact (institution-specific),2023-24,5%,"$1,162,985.00"
Sir Sandford Fleming,06. Graduate employment earnings,2023-24,5%,"$1,162,985.00"
Sir Sandford Fleming,07. Experiential learning,2023-24,10%,"$2,325,969.00"
Sir Sandford Fleming,08. Revenue attracted from private sector sources,2023-24,5%,"$1,162,985.00"
Sir Sandford Fleming,09. Apprenticeship-related (institution-specific),2023-24,15%,"$3,488,954.00"
Sir Sandford Fleming,10. Skills and competencies,2023-24,5%,"$1,162,985.00"
Sir Sandford Fleming,01. Graduate employment rate in a related field,2024-25,15%,"$3,803,703.00"
Sir Sandford Fleming,02. Institutiol strength and focus,2024-25,20%,"$5,071,604.00"
Sir Sandford Fleming,03. Graduation rate,2024-25,10%,"$2,535,802.00"
Sir Sandford Fleming,04. Community and local impact of student enrolment,2024-25,10%,"$2,535,802.00"
Sir Sandford Fleming,05. Economic impact (institution-specific),2024-25,5%,"$1,267,901.00"
Sir Sandford Fleming,06. Graduate employment earnings,2024-25,5%,"$1,267,901.00"
Sir Sandford Fleming,07. Experiential learning,2024-25,10%,"$2,535,802.00"
Sir Sandford Fleming,08. Revenue attracted from private sector sources,2024-25,5%,"$1,267,901.00"
Sir Sandford Fleming,09. Apprenticeship-related (institution-specific),2024-25,15%,"$3,803,703.00"
Sir Sandford Fleming,10. Skills and competencies,2024-25,5%,"$1,267,901.00"
Total,,,,"$2,848,091,770.00"
